employee_id,age,education_level,department,job_role,years_experience,training_hours,avg_monthly_hours,satisfaction_level,last_performance_score,absenteeism_days,promotion_last_5yrs,performance_label
E10000,25,High School,IT,Engineer,7,42,188,0.56,3,2,1,Medium
E10001,51,Bachelors,Finance,Operator,34,49,243,0.553,3,4,0,Medium
E10002,46,High School,IT,Executive,25,46,184,0.706,1,1,0,Low
E10003,38,High School,IT,Analyst,16,38,181,0.707,4,2,0,Medium
E10004,38,Bachelors,R&D,Technician,21,37,170,0.559,2,3,0,Low
E10005,54,Bachelors,HR,Technician,33,30,143,1.0,3,3,0,Medium
E10006,25,Masters,HR,Analyst,5,42,180,0.652,1,0,0,Low
E10007,48,Bachelors,Finance,Executive,29,42,138,0.72,5,3,0,Medium
E10008,29,Masters,Sales,Executive,7,34,136,0.628,2,1,0,Medium
E10009,25,Bachelors,Sales,Engineer,7,33,135,0.779,1,2,0,Low
E10010,42,Bachelors,R&D,Engineer,20,30,180,0.922,4,2,0,Medium
E10011,59,Bachelors,Finance,Executive,40,43,159,0.999,5,2,0,High
E10012,49,Bachelors,IT,Manager,30,29,162,0.563,3,2,0,Medium
E10013,50,PhD,IT,Analyst,30,38,160,0.898,1,1,0,Medium
E10014,49,Bachelors,IT,Operator,31,40,137,0.799,5,3,0,High
E10015,51,High School,Sales,Manager,33,37,147,0.875,2,1,1,Medium
E10016,41,Bachelors,HR,Analyst,19,31,148,0.683,2,0,0,Low
E10017,26,Masters,Sales,Manager,7,48,132,0.666,4,1,0,Medium
E10018,53,High School,Finance,Executive,30,41,150,0.868,2,0,0,Medium
E10019,39,Bachelors,Finance,Engineer,23,33,138,0.872,1,3,0,Low
E10020,41,Masters,HR,Executive,23,35,172,0.982,4,1,0,High
E10021,36,Masters,HR,Executive,20,38,173,0.736,2,2,0,Medium
E10022,28,PhD,HR,Technician,10,39,134,0.681,5,2,0,Medium
E10023,57,Bachelors,Production,Executive,39,43,154,0.257,1,1,0,Low
E10024,51,Bachelors,R&D,Executive,37,36,197,0.41,5,2,0,High
E10025,46,Bachelors,Finance,Technician,27,46,140,0.629,4,0,0,Medium
E10026,37,Masters,R&D,Engineer,13,46,169,0.502,2,2,0,Low
E10027,53,Bachelors,Finance,Manager,33,46,162,0.847,3,2,0,Medium
E10028,42,Masters,IT,Analyst,21,42,182,0.464,5,2,0,Medium
E10029,38,Bachelors,HR,Engineer,19,45,166,0.61,1,2,0,Low
E10030,39,Bachelors,Production,Executive,24,33,151,0.617,5,5,0,Medium
E10031,30,Masters,Finance,Engineer,10,40,161,0.917,3,3,0,Medium
E10032,25,Bachelors,Finance,Engineer,6,47,162,0.591,5,1,0,Medium
E10033,43,Masters,Production,Executive,22,43,158,0.781,2,0,0,Medium
E10034,55,Bachelors,HR,Operator,34,40,134,0.735,4,2,0,Medium
E10035,24,Bachelors,Sales,Analyst,7,35,185,0.863,5,0,0,High
E10036,54,Bachelors,IT,Technician,35,37,181,0.853,2,1,0,Medium
E10037,53,Bachelors,HR,Manager,34,41,139,0.694,1,1,0,Low
E10038,32,Bachelors,R&D,Executive,11,35,154,0.395,2,3,0,Low
E10039,46,High School,HR,Operator,29,43,155,0.658,3,3,1,Medium
E10040,28,High School,R&D,Technician,8,37,137,0.696,4,2,0,Medium
E10041,50,Bachelors,R&D,Executive,30,43,123,0.751,3,2,1,Medium
E10042,48,Bachelors,R&D,Technician,30,38,147,0.567,5,2,0,Medium
E10043,35,Bachelors,Finance,Executive,16,35,153,0.905,3,3,0,Medium
E10044,24,High School,IT,Analyst,6,38,131,0.702,4,4,0,Medium
E10045,58,Bachelors,R&D,Executive,34,36,164,0.534,5,1,0,Medium
E10046,38,High School,Sales,Analyst,20,48,183,0.618,5,2,0,Medium
E10047,55,Masters,IT,Technician,37,39,177,1.0,2,2,0,Medium
E10048,47,Masters,HR,Operator,27,32,157,0.82,2,1,0,Medium
E10049,51,Bachelors,HR,Operator,33,36,123,0.889,4,3,0,Medium
E10050,50,Bachelors,R&D,Executive,30,32,174,0.513,3,0,0,Medium
E10051,29,High School,Sales,Technician,11,44,163,0.576,3,3,0,Medium
E10052,35,Bachelors,R&D,Analyst,15,38,168,0.577,4,4,0,Low
E10053,39,High School,HR,Engineer,18,45,199,0.733,4,2,0,Medium
E10054,40,Bachelors,Production,Operator,22,48,144,0.669,5,3,0,Medium
E10055,23,Bachelors,Production,Engineer,3,37,103,0.612,2,3,0,Low
E10056,42,Masters,Sales,Engineer,21,44,139,0.634,4,1,0,Medium
E10057,27,Bachelors,IT,Analyst,9,41,170,0.557,2,1,0,Low
E10058,50,Bachelors,IT,Engineer,30,46,161,0.668,5,1,0,High
E10059,47,Masters,R&D,Technician,29,34,136,0.9,1,4,0,Low
E10060,57,PhD,R&D,Analyst,40,42,132,0.428,4,0,0,Medium
E10061,50,Bachelors,Finance,Engineer,33,41,153,0.762,1,1,0,Medium
E10062,35,Bachelors,R&D,Executive,12,52,135,0.948,5,3,0,High
E10063,58,Bachelors,Sales,Analyst,37,44,170,0.667,5,6,0,Medium
E10064,37,Bachelors,R&D,Operator,20,41,152,0.605,5,0,0,Medium
E10065,34,PhD,HR,Engineer,16,40,147,0.866,4,2,0,High
E10066,56,Bachelors,R&D,Executive,34,45,145,0.523,3,2,0,Low
E10067,36,Bachelors,HR,Engineer,15,37,165,0.696,2,3,0,Low
E10068,24,High School,Sales,Operator,8,51,161,0.513,5,1,0,Medium
E10069,39,Bachelors,Production,Manager,21,35,164,0.363,3,3,0,Low
E10070,52,Masters,Sales,Manager,34,44,164,0.673,5,3,0,Medium
E10071,29,Bachelors,Finance,Analyst,14,28,159,0.473,4,2,0,Medium
E10072,39,Bachelors,Finance,Engineer,21,35,139,0.698,4,1,0,Medium
E10073,26,Masters,IT,Executive,6,33,145,0.901,2,1,0,Low
E10074,48,Masters,Production,Operator,25,40,152,1.0,3,2,0,Medium
E10075,40,Bachelors,Sales,Technician,22,41,201,0.717,3,2,0,Medium
E10076,34,Bachelors,HR,Engineer,16,32,133,0.883,4,1,0,Medium
E10077,30,Bachelors,HR,Analyst,7,44,152,0.772,4,2,0,Medium
E10078,43,Bachelors,IT,Manager,23,38,162,0.631,1,1,0,Low
E10079,47,Bachelors,IT,Operator,26,42,154,0.354,2,3,0,Low
E10080,57,Bachelors,Production,Technician,40,41,181,0.993,1,6,0,Medium
E10081,38,Masters,R&D,Analyst,21,33,154,0.511,3,2,0,Low
E10082,28,Masters,HR,Engineer,12,40,155,0.949,4,0,0,High
E10083,53,Masters,Production,Operator,34,43,176,0.797,2,2,0,Medium
E10084,45,PhD,Finance,Operator,29,47,196,0.524,4,1,1,Medium
E10085,48,Masters,Finance,Manager,31,44,188,0.756,1,2,0,Low
E10086,25,Masters,R&D,Operator,8,36,157,1.0,5,3,0,High
E10087,33,Masters,R&D,Technician,17,34,159,0.976,4,4,0,Medium
E10088,51,Bachelors,R&D,Operator,34,40,161,0.608,4,2,0,Medium
E10089,53,Bachelors,Finance,Analyst,36,43,163,0.572,4,0,0,Medium
E10090,38,Bachelors,HR,Engineer,21,36,143,0.718,2,2,0,Low
E10091,52,Bachelors,Production,Executive,29,34,179,0.67,5,3,0,High
E10092,53,Bachelors,HR,Engineer,35,42,164,0.916,4,1,0,High
E10093,36,Bachelors,R&D,Executive,18,37,159,0.833,1,4,0,Low
E10094,56,Bachelors,HR,Analyst,35,40,135,0.395,5,3,0,Medium
E10095,32,Bachelors,IT,Executive,9,41,161,0.783,4,3,0,Medium
E10096,31,Bachelors,Finance,Analyst,8,44,122,0.668,2,0,0,Medium
E10097,47,Masters,Production,Analyst,29,49,148,0.707,5,3,0,Medium
E10098,46,Masters,Finance,Manager,26,46,149,0.745,2,3,0,Medium
E10099,27,High School,HR,Operator,5,41,166,0.916,4,2,0,Medium
E10100,53,High School,HR,Analyst,33,48,198,0.876,4,0,0,Medium
E10101,29,Bachelors,Production,Technician,12,41,171,0.565,5,3,0,Medium
E10102,52,Masters,R&D,Executive,28,39,189,0.689,3,0,0,Medium
E10103,22,Masters,Sales,Operator,4,44,173,0.619,5,0,0,Medium
E10104,52,High School,Finance,Executive,31,41,183,0.397,2,2,0,Low
E10105,51,Masters,IT,Engineer,34,41,197,0.68,5,2,0,Medium
E10106,51,High School,Sales,Analyst,31,36,145,1.0,2,2,0,Medium
E10107,47,Bachelors,Finance,Analyst,30,50,144,0.392,5,1,0,Medium
E10108,39,PhD,IT,Engineer,19,44,173,0.696,4,2,0,Medium
E10109,48,High School,IT,Operator,25,38,160,0.69,4,3,0,Medium
E10110,32,High School,Production,Executive,12,42,164,0.752,1,0,0,Low
E10111,51,Bachelors,R&D,Technician,32,44,155,0.527,3,1,0,Medium
E10112,43,Bachelors,R&D,Executive,29,33,148,0.443,1,4,0,Low
E10113,39,Masters,IT,Executive,18,46,192,0.452,5,4,0,Medium
E10114,41,PhD,HR,Executive,22,41,138,0.94,2,2,0,Medium
E10115,43,High School,Sales,Technician,24,37,174,0.523,5,3,0,Medium
E10116,23,High School,Production,Manager,0,47,170,0.61,5,1,0,Medium
E10117,27,Masters,HR,Analyst,9,44,128,1.0,1,2,0,Low
E10118,31,Bachelors,IT,Analyst,10,50,143,0.568,4,2,0,Medium
E10119,26,Masters,HR,Operator,12,39,147,0.762,2,1,0,Low
E10120,38,Bachelors,HR,Analyst,20,49,171,0.891,1,0,0,Medium
E10121,47,High School,IT,Technician,31,41,153,0.883,2,1,0,Medium
E10122,46,Masters,Finance,Operator,27,31,158,0.46,3,2,0,Low
E10123,39,High School,R&D,Operator,22,38,131,0.572,5,4,0,Medium
E10124,54,Bachelors,Sales,Operator,31,38,207,0.754,4,2,0,Medium
E10125,43,Bachelors,HR,Manager,23,36,161,1.0,2,1,0,Medium
E10126,25,Bachelors,Sales,Analyst,8,39,170,0.563,2,2,0,Low
E10127,51,Bachelors,Production,Engineer,34,25,149,0.611,2,1,0,Low
E10128,43,Bachelors,HR,Executive,28,38,147,0.776,4,2,0,High
E10129,46,PhD,R&D,Manager,23,44,198,0.812,3,0,0,Medium
E10130,43,PhD,Sales,Manager,28,58,122,0.822,1,4,0,Low
E10131,43,Bachelors,R&D,Operator,26,36,166,0.548,1,2,0,Low
E10132,25,High School,Production,Engineer,2,37,136,0.604,1,1,0,Low
E10133,43,Masters,R&D,Executive,23,38,152,0.739,5,1,0,High
E10134,52,PhD,IT,Operator,37,43,147,0.927,3,1,0,Medium
E10135,33,Bachelors,HR,Operator,14,32,140,0.657,3,2,0,Medium
E10136,44,Bachelors,Sales,Operator,24,41,161,0.696,4,3,0,Medium
E10137,23,Bachelors,Finance,Technician,5,49,109,0.515,1,6,0,Low
E10138,35,High School,Sales,Technician,18,36,154,1.0,1,2,0,Medium
E10139,38,Bachelors,R&D,Executive,17,37,158,0.728,2,0,0,Medium
E10140,59,Bachelors,HR,Operator,40,35,133,0.894,2,5,0,Medium
E10141,30,Masters,Sales,Analyst,14,23,190,0.705,4,1,0,Medium
E10142,32,Masters,IT,Analyst,12,55,148,0.715,5,2,0,Medium
E10143,37,Masters,Production,Engineer,17,40,155,0.43,4,2,0,Medium
E10144,59,Bachelors,Sales,Engineer,40,44,148,0.313,5,3,0,Medium
E10145,54,Bachelors,Finance,Analyst,33,36,158,0.925,3,2,0,Medium
E10146,23,Masters,IT,Technician,0,40,186,0.714,2,5,0,Low
E10147,30,Masters,Finance,Executive,9,49,209,0.737,2,2,0,Medium
E10148,53,Bachelors,Sales,Manager,31,33,175,0.475,1,0,0,Low
E10149,24,Masters,Production,Manager,4,33,182,0.537,5,1,0,Medium
E10150,54,High School,Sales,Operator,32,50,194,0.891,4,3,0,Medium
E10151,32,Masters,Production,Analyst,15,36,165,1.0,4,0,0,High
E10152,56,High School,IT,Analyst,39,41,191,0.588,2,3,0,Low
E10153,33,High School,R&D,Engineer,15,41,176,0.821,4,2,1,Medium
E10154,38,Bachelors,Sales,Analyst,20,39,163,0.734,2,1,0,Medium
E10155,47,High School,IT,Engineer,29,37,167,0.678,3,1,0,Medium
E10156,26,High School,Sales,Manager,12,53,124,1.0,4,3,0,Medium
E10157,43,High School,IT,Manager,23,31,166,0.618,5,1,0,Medium
E10158,41,Bachelors,Finance,Technician,17,41,129,0.923,3,2,0,Medium
E10159,51,Masters,HR,Analyst,32,35,127,0.769,4,2,0,Medium
E10160,59,High School,HR,Executive,36,34,164,0.697,3,2,0,Medium
E10161,47,Bachelors,HR,Analyst,28,38,138,0.947,3,1,0,Medium
E10162,37,Masters,HR,Analyst,17,41,160,0.752,5,1,0,Medium
E10163,37,High School,Sales,Executive,15,37,163,0.683,5,3,0,Medium
E10164,37,High School,HR,Executive,16,41,164,0.948,2,1,0,Medium
E10165,52,Masters,IT,Operator,34,56,142,0.925,5,3,0,High
E10166,34,Masters,HR,Manager,17,42,178,0.916,3,2,0,Medium
E10167,28,Bachelors,Finance,Executive,10,45,158,0.05,4,2,0,Low
E10168,34,Masters,Finance,Analyst,14,30,169,0.779,3,3,0,Medium
E10169,22,High School,Finance,Engineer,0,43,136,0.738,4,4,0,Medium
E10170,26,Bachelors,IT,Technician,11,34,156,0.694,5,2,0,Medium
E10171,25,Masters,HR,Technician,9,39,182,0.81,3,1,0,Medium
E10172,51,Bachelors,Production,Executive,32,31,179,0.747,4,1,0,Medium
E10173,49,Masters,HR,Engineer,28,36,144,0.822,3,2,0,Medium
E10174,48,Bachelors,R&D,Manager,24,45,149,0.652,4,4,0,Medium
E10175,39,Masters,R&D,Engineer,20,42,140,0.97,1,1,0,Medium
E10176,49,Bachelors,Finance,Manager,30,47,147,0.84,4,2,0,Medium
E10177,28,Bachelors,IT,Manager,5,44,132,0.798,3,1,0,Low
E10178,56,Bachelors,Finance,Operator,33,30,157,0.789,3,1,0,Medium
E10179,41,Bachelors,Production,Executive,24,44,173,0.908,2,2,0,Medium
E10180,57,Masters,R&D,Analyst,37,26,144,0.884,4,2,0,Medium
E10181,27,High School,Production,Manager,7,43,158,0.68,2,0,0,Low
E10182,40,High School,HR,Operator,22,39,156,0.878,1,2,1,Medium
E10183,48,High School,Production,Operator,25,35,181,0.731,5,2,0,High
E10184,40,High School,HR,Engineer,17,38,148,1.0,3,1,0,High
E10185,38,Masters,Production,Technician,21,55,148,0.898,1,3,1,Medium
E10186,28,Bachelors,R&D,Analyst,7,44,143,0.587,2,3,0,Low
E10187,36,PhD,Production,Executive,19,31,137,1.0,5,3,0,High
E10188,31,High School,Sales,Manager,13,40,171,0.322,2,2,0,Low
E10189,33,Bachelors,R&D,Executive,13,55,157,0.815,2,1,0,Medium
E10190,47,Bachelors,Production,Executive,32,34,161,0.575,3,2,0,Low
E10191,45,Bachelors,Sales,Executive,25,46,185,1.0,1,3,0,Medium
E10192,45,Masters,HR,Executive,29,33,187,0.746,3,1,0,Medium
E10193,35,PhD,Sales,Engineer,13,37,127,0.557,1,1,0,Low
E10194,58,Masters,HR,Manager,34,38,173,0.652,5,2,0,Medium
E10195,25,High School,R&D,Engineer,5,40,165,0.571,3,1,0,Low
E10196,35,Bachelors,IT,Analyst,13,39,151,0.645,2,0,1,Low
E10197,26,Bachelors,HR,Operator,6,40,167,0.641,3,2,0,Low
E10198,34,Bachelors,Sales,Engineer,11,41,125,0.565,1,0,0,Low
E10199,58,Masters,HR,Technician,34,36,189,0.749,2,2,0,Low
E10200,35,Bachelors,Production,Analyst,18,35,170,0.77,1,1,0,Low
E10201,56,Bachelors,Production,Executive,37,33,143,0.521,4,4,0,Medium
E10202,40,Masters,HR,Engineer,20,45,148,0.402,5,1,0,Medium
E10203,48,Masters,HR,Engineer,28,50,126,0.756,3,0,0,Medium
E10204,39,High School,Sales,Analyst,19,37,154,0.796,1,2,0,Low
E10205,32,High School,Production,Engineer,18,43,150,0.831,1,4,0,Low
E10206,51,Bachelors,Finance,Analyst,28,40,133,0.799,5,0,0,High
E10207,58,Bachelors,Finance,Executive,40,33,176,0.983,2,2,0,Medium
E10208,32,Bachelors,HR,Executive,12,41,186,0.879,2,2,0,Low
E10209,51,Bachelors,IT,Technician,30,42,159,1.0,1,3,0,Medium
E10210,31,Masters,Sales,Operator,16,42,154,1.0,4,1,0,Medium
E10211,49,Masters,Finance,Manager,32,44,169,0.384,1,2,0,Low
E10212,51,Bachelors,IT,Technician,28,48,160,0.305,5,3,0,Medium
E10213,39,Bachelors,HR,Operator,24,37,138,0.699,2,1,0,Low
E10214,50,Bachelors,Finance,Manager,27,27,147,0.791,1,2,0,Low
E10215,32,Bachelors,IT,Operator,12,39,154,0.686,4,1,1,Medium
E10216,25,Bachelors,R&D,Engineer,3,33,165,0.827,2,0,0,Medium
E10217,25,Bachelors,HR,Technician,5,46,160,0.651,4,2,0,Medium
E10218,38,Bachelors,Sales,Analyst,20,38,164,0.575,1,2,0,Low
E10219,56,High School,Production,Engineer,36,31,130,0.602,5,1,0,Medium
E10220,26,High School,HR,Executive,9,38,173,0.664,2,3,0,Low
E10221,39,Bachelors,HR,Executive,20,37,160,0.852,4,2,0,Medium
E10222,48,Masters,Finance,Engineer,30,40,211,0.612,5,0,0,High
E10223,29,Bachelors,HR,Operator,8,32,152,0.648,3,2,0,Medium
E10224,49,High School,R&D,Technician,28,54,166,0.803,2,6,0,Medium
E10225,33,Masters,Finance,Operator,11,41,217,0.664,2,2,0,Low
E10226,52,Bachelors,IT,Engineer,33,41,164,0.901,4,2,0,Medium
E10227,44,Bachelors,IT,Engineer,24,31,159,0.534,1,2,0,Low
E10228,42,Masters,Sales,Analyst,26,49,140,0.495,1,4,0,Low
E10229,28,High School,R&D,Operator,12,36,191,0.755,4,1,0,Medium
E10230,39,Bachelors,R&D,Executive,21,43,137,0.773,1,2,0,Medium
E10231,54,Bachelors,IT,Executive,33,36,169,0.544,2,0,0,Low
E10232,22,High School,Sales,Technician,5,50,151,0.942,4,1,0,Medium
E10233,50,Bachelors,Sales,Engineer,29,31,156,1.0,2,2,1,Medium
E10234,40,Bachelors,Finance,Analyst,20,36,132,0.587,5,2,0,Medium
E10235,49,High School,Finance,Technician,26,29,187,0.968,5,0,0,High
E10236,47,Bachelors,Finance,Technician,25,50,154,0.271,1,1,0,Low
E10237,38,Bachelors,HR,Executive,24,35,136,0.894,1,1,0,Low
E10238,33,High School,Production,Engineer,15,33,185,0.546,5,1,0,Medium
E10239,45,High School,HR,Analyst,24,41,150,0.876,1,2,0,Medium
E10240,27,Masters,IT,Operator,6,42,167,0.527,3,3,0,Low
